id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
345,dʒʰil,dʒhil,NOUN,5_f-Clakeозеро,Hin jhil < *jhilla,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
346,dʒʰintʃɳi,dʒhintʃɳi,NOUN,3_f-Vrope,Bad OIA word *jhiṅk-,swing,верёвочные качели,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
347,dʒʰipʰ,dʒhiph,,,Bad OIA *jhuppa²,n4_m-Csg thicket of bushes or grass thicket,заросли,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
348,dʒʰɔ̃pɽi,dʒhɔpɽi,NOUN,3_f-Vhut,NT IA language *jhamp,,хижина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
349,dʒʰɔɽi,dʒhɔɽi,NOUN,3_f-Vwrinkle,Suspicious IA etymology cf. N cāuri,,морщина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
350,dʒʰɔʈiɳa,dʒhɔʈiɳa,,,OIA*jhaṭṭ,"vifight, quarrel",ссориться dʒʰuʈɳa vtdrink  пить pīna Ɖ ɖ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
351,ɖabra,ɖabra,,,compensatory lenghtening IA language*ḍabbara,n1_m-a big bowl for kneading dough,большой таз для теста ɖãgn 4_m-C stick палка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
352,ɖahɳa,ɖahɳa,,,Bad OIA word dádhāti,1) vtput,класть 2) auxTERM TERM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
353,ɖaiɳ,ɖaiɳ,NOUN,7_f-iwitch,OIAḍākínī,(abusing word for woman),ругательство о кошке или женщине,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
354,ɖaku,ɖaku,NOUN,2_m-V,OIA*ḍākka,robber,разбойник,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
355,ɖaɭ,ɖaɭ,,,OIAḍāla,n4_m-C branch,ветка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
356,ɖana,ɖana,NOUN,1_m-a,Suspicious IA etymologyāṇḍá + met,egg,яйцо ɖaɳɖʰn 4_m-C 1) belly живот 2) stomach желудок18 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
357,ɖãpʰɳa,ɖaphɳa,,,Bad OIA*ḍhamp-,vtdeceive,обманывать dhokha dena,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
358,ɖɐɳɖa-kuɳɖi,ɖɐɳɖa-kuɳɖi,NOUN,1_m-a,"Bad OIA word, ɛ/ɐ IA languagedaṇḍá + kuṇḍá",pestle and mortar,пестик и ступка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
359,ɖẽga,ɖega,ADJ,,Bad OIA word *ḍaṅga- / *ḍēṅga-,them. curved,наклонный  ṭeḍhā,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
360,ɖera,ɖera,NOUN,1_m-a,OIA*ḍēra,1) temple,храм 2) houseдом,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
361,ɖeru,ɖeru,,,OIA*ḍēra,n2_m-V temple,храм ɖewɽʰcardnum one and a half полтора,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
362,ɖɛngra,ɖɛngra,NOUN,1_m-a,Mandeali d ̣angra<*ḍaṅgara,animal,животное janvar,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
363,ɖɛɳɖa,ɖɛɳɖa,NOUN,1_m-a,OIAdaṇḍá,log,бревно,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
364,ɖəkar,ɖəkar,NOUN,4_m-C,OIA*ḍakkāra,belch,отрыжка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
365,ɖikɭi,ɖikɭi,NOUN,3_f-V1),Bad OIA word*ḍakkāra *ḍhikk,belch,отрыжка 2) hiccough икота,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
366,ɖongiɳa,ɖongiɳa,,,Unknown,vifreeze food,"замораживать еду ɖorin 3_f-Vверёвочка, которую повязывает пуджари на руку ɖɔɳɖn4_m-C penalty плата в храм за прегрешение",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
367,ɖɔrna,ɖɔrna,,,Bad OIA worddarati,vibe  afraid,бояться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
368,ɖrauɳa,ɖrauɳa,ADJ,,Unknown,them. frightening,страшный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
369,ɖubɳa,ɖubɳa,,,OIA*ḍubb,vi1) drown,тонуть ḍū bna2) diveнырять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
370,ɖugʰa,ɖugha,ADJ,,Bad OIA word gūḍhá + met,them. deep,глубокий,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
371,ɖũkʰ,ɖukh,NOUN,4_m-C,Bad OIA word*ḍhaṅkha,stub,пень Ɖʰ ɖʰ ɖʰaln 4_m-C shield щит,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
372,ɖʰek,ɖhek,,,OIA*ḍhēkka-,n4_m-C 1) fence supporting terrace field,"стена, укрепляющая террасу на поле 2) higher (inner) side of a terrace fieldверхний (внутренний) край террасного поля ɖʰemɳa vtbeat  бить, избивать mārna (jān se nah ī̃),  pīṭna",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
373,ɖʰɛwa,ɖhɛwa,NOUN,1_m-a,"Mandeali, Punjabi, ɛ/ɐ IA languageḍhabba < ḍhabūā < *ḍhabba-",money,деньги ɖʰəlaɳa vtpourлить19 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
374,ɖʰipi,ɖhipi,,,OIA*ḍhippa-,n3_f-Vsmall bridge,"мостик ɖʰisɳavtbeat бить, избивать mārna, pīṭna ɖʰoɳavt1) carry носить ḍ hona2) bearпереносить 3) pickподбирать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
375,ɖʰɔg,ɖhɔg,NOUN,4_m-C,"Bad OIA word *ḍhōkka, *ḍagga",mountain,гора,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
376,ɖʰɔkɳa,ɖhɔkɳa,,,OIA†*ḍhakk-,vtgrasp,хватать pakaṛna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
